BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod
18724,Glacial Drumlin Cream Ale,Irish Cream Ale,15.14,1.051,1.0090000000000001,5.52,19.39,2.86,22.71,90,1.034,70.0,Specific Gravity,BIAB
18739,Feels Like Summer,Irish Lager,10.0,1.0490000000000002,1.011,5.02,30.02,6.3,14.0,60,1.035,60.0,Specific Gravity,BIAB
18749,Honey Smoked Red - Father's Day 2014,Irish Red Ale,20.82,1.06,1.016,5.77,32.32,18.87,28.39,60,1.044,80.0,Specific Gravity,All Grain
18760,Hot red,Irish Red Ale,23.0,1.046,1.01,4.8,24.25,14.44,29.0,75,1.037,70.0,Specific Gravity,All Grain
18782,Itchy Huevos,Irish Lager,41.64,1.057,1.0170000000000001,5.15,28.33,12.22,47.32,90,1.05,74.0,Specific Gravity,All Grain
18799,Punane Põrguline,Irish Red Ale,25.0,1.055,1.0090000000000001,5.95,153.61,11.37,30.0,60,1.046,63.0,Specific Gravity,BIAB
18863,Gun in a Knife Fight,Irish Red Ale,20.82,1.055,1.013,5.49,23.45,16.39,28.39,60,1.04,85.0,Specific Gravity,All Grain
18906,Belgian Pale Pumpkin Ale,Irish Pale Ale,4.16,1.048,1.008,5.27,23.58,17.27,5.68,90,1.035,75.0,Specific Gravity,All Grain
18924,Hopaholics B-cup Belgian Blonde,Irish Pale Ale,454.25,1.058,1.01,6.22,25.82,5.77,484.53,60,1.047,79.0,Specific Gravity,All Grain
18960,"Irish ""Red""",Irish Red Ale,18.93,1.08,1.023,7.45,0.0,37.05,18.93,60,1.042,75.0,Specific Gravity,All Grain
18971,Winning Amber,Irish Lager,39.75,1.046,1.012,4.54,0.0,33.72,28.39,100,1.065,75.0,Specific Gravity,All Grain
19026,Royal Ruby Ale III,Irish Red Ale,10.0,1.044,1.008,4.69,22.86,14.29,12.0,60,1.037,65.0,Specific Gravity,All Grain
19055,Viennese Kiwi Lager,Irish Lager,22.0,1.047,1.006,5.34,27.05,11.66,30.0,90,1.035,75.0,Specific Gravity,All Grain
19099,The Irish Red,Irish Red Ale,21.77,1.048,1.012,4.72,0.0,12.4,24.61,60,1.042,75.0,Specific Gravity,All Grain
19108,Kräm av 3,Irish Cream Ale,20.0,1.041,1.006,4.6,19.27,3.01,24.0,60,1.034,70.0,Specific Gravity,All Grain
19122,Vienna Lager,Irish Lager,20.82,1.052,1.011,5.36,25.05,7.17,30.28,90,1.036,63.0,Specific Gravity,All Grain
19146,Oyster Stout,Irish Dry Stout,18.93,1.051,1.014,4.86,46.17,34.77,24.61,60,1.0390000000000001,65.0,Specific Gravity,All Grain
19150,Awesome Recipe,Irish Pale Ale,3.8,1.05,1.012,5.1,27.09,12.76,8.5,90,1.023,55.0,Specific Gravity,All Grain
19181,AG Cream Ale v2,Irish Cream Ale,7.57,1.042,1.0090000000000001,4.3,17.31,2.76,10.6,60,1.03,70.0,Specific Gravity,BIAB
19232,Overhopped Cream Ale,Irish Cream Ale,24.72,1.051,1.008,5.66,20.7,2.99,30.28,60,1.042,75.0,Specific Gravity,All Grain
19236,BPA - JT,Irish Pale Ale,18.93,1.065,1.018,6.1,81.68,11.49,20.82,60,1.0590000000000002,75.0,Specific Gravity,Partial Mash
